city,population
Екатеринбург,1455904.0
Самара,1169719.0
Ростов-на-Дону,1125299.0
Набережные Челны,529797.0
Волгоград,1015586.0
Чистополь,60564.0
Нижний Новгород,1264075.0
Пермь,1048005.0
Оренбург,564443.0
Ханты-Мансийск,98692.0
Заводоуковск,26006.0
Туймазы,68410.0
Казань,1243500.0
Краснодар,881476.0
Новосибирск,1602915.0
Москаленки,9271.0
Белгород,391135.0
Бердск,103290.0
Магнитогорск,418241.0
Воронеж,1039801.0
Тольятти,710567.0
Новокузнецк,552445.0
Саратов,845300.0
Аксай,38386.0
Армавир,190709.0
Владимир,356168.0
Гвардейск,13186.0
Челябинск,1198858.0
Пойковский,26436.0
Красноярск,1082933.0
Сочи,429070.0
Шахты,235492.0
Стерлитамак,280233.0
Ярославль,608079.0
Ростов,31039.0
Зеленодольск,99235.0
Калининград,467289.0
Нижневартовск,274575.0
Нижнекамск,237250.0
Муром,109809.0
Тюмень,744554.0
Канск,90231.0
Ижевск,646277.0
Энгельс,225752.0
Бийск,201914.0
Братск,231602.0
Иркутск,623736.0
Сургут,360590.0
Омск,1178391.0
Петровская,111775.0
Минусинск,68410.0
Каневская,44386.0
Волжский,326055.0
Уфа,1115560.0
Минеральные Воды,74758.0
Юрга,81733.0
Гусев,28257.0
Калач-на-Дону,24237.0
Ачинск,105264.0
Краснокамск,53864.0
Арамиль,15162.0
Нефтеюганск,126157.0
Ковров,138552.0
Сосновское,1087.0
Дивное,13129.0
Троицк,75231.0
Альметьевск,154262.0
Кимовск,26093.0
Тайшет,33364.0
Ильский,25502.0
Миллерово,35540.0
Давыдовка,5059.0
Гуково,66332.0
Кумылженская,7953.0
Октябрьское,113929.0
Грайворон,6404.0
Барнаул,632372.0
Мегион,48283.0
Рубцовск,144128.0
Первоуральск,124447.0
Глазов,93628.0
Искитим,57032.0
Тула,485221.0
Славянск-на-Кубани,66285.0
Салават,153181.0
Нижний Тагил,355693.0
Михайловка,58407.0
Кемерово,556920.0
Каменск-Шахтинский,89657.0
Азнакаево,34863.0
Верхняя Пышма,69117.0
Новороссийск,334506.0
Кисловодск,129593.0
Марьяновка,1735.0
Кунгур,66157.0
Новочеркасск,168766.0
Арзамас,104547.0
Старый Оскол,223360.0
Каменск-Уральский,169929.0
Ессентуки,108679.0
Рыбинск,190429.0
Березники,145115.0
Балаково,191260.0
Похвистнево,28223.0
Дзержинск,231797.0
Серов,97762.0
Переславль-Залесский,39105.0
Камышин,111775.0
Верхний Уфалей,27879.0
Гусь-Хрустальный,55421.0
Советск,1264075.0
Губкин,86999.0
Георгиевск,67714.0
Богородск,34388.0
Володарск,10021.0
Целина,1035537.0
Невьянск,23348.0
Сызрань,173260.0
Горячий Ключ,37475.0
Усть-Илимск,82455.0
Геленджик,76830.0
Донское,63842.0
Анапа,75865.0
Мелеуз,58536.0
Бузулук,86316.0
Ставрополь,433577.0
Копейск,147573.0
Тбилисская,25317.0
Абинск,38176.0
Кореновск,42019.0
Новомосковск,125647.0
Златоуст,167978.0
Карталы,28577.0
Азов,81335.0
Ангарск,226374.0
Новоалтайск,73439.0
Козулька,7833.0
Бугульма,85476.0
Котово,22450.0
Бисерть,9626.0
Якшур-Бодья,7211.0
Дюртюли,30858.0
Таганрог,250287.0
Норильск,178018.0
Соликамск,94628.0
Суворовская,1048005.0
Тобольск,98886.0
Воткинск,98063.0
Новотроицк,95139.0
Суксун,8127.0
Семенов,24536.0
Полазна,13021.0
Анжеро-Судженск,71787.0
Шелехов,47608.0
Волгодонск,171471.0
Нефтекамск,126805.0
Чебаркуль,39914.0
Летняя Ставка,4437.0
Строитель,24526.0
Невинномысск,117446.0
Углич,32146.0
Железногорск,100671.0
Миасс,151856.0
Тоцкое,6898.0
Маркс,31788.0
Алексин,58329.0
Красный Сулин,38567.0
Елабуга,73817.0
Кстово,67723.0
Изобильный,38100.0
Варениковская,14881.0
Октябрьский,113929.0
Чекмагуш,11382.0
Выкса,53406.0
Городец,30696.0
Новокуйбышевск,102933.0
Талнах,47307.0
Валуйки,34679.0
Катав-Ивановск,16088.0
Асбест,64666.0
Бор,78385.0
Белокуриха,15179.0
Губаха,20289.0
Монетный,5633.0
Ишимбай,65422.0
Гороховец,12948.0
Мыски,41628.0
Ишим,65259.0
Чапаевск,72944.0
Урай,40559.0
Иноземцево кп,52414.0
Пятигорск,145885.0
Калачинск,22781.0
Карасук,27196.0
Архипо-Осиповка,7853.0
Прокопьевск,196406.0
Темрюк,40755.0
Егорлыкская,17660.0
Ейск,83665.0
Гурьевск,23089.0
Петушки,13382.0
Щекино,58088.0
Сухобузимское,4293.0
Черноморский,59724.0
Сорочинск,27912.0
Вольск,63947.0
Курумоч,6697.0
Тихорецк,58352.0
Павлово,58163.0
Грушевская,235492.0
Белово,72843.0
Лениногорск,63049.0
Шебекино,42465.0
Белая Калитва,40831.0
Усолье-Сибирское,77989.0
Борисоглебск,62669.0
Саянск,38897.0
Гулькевичи,34236.0
Сосновоборск,68045.0
Балашов,77391.0
Крымск,57229.0
Южноуральск,37801.0
Кыштым,37480.0
Лобаново,4280.0
Урюпинск,38267.0
Михайловск,90698.0
Александров,59328.0
Шипуново,155.0
Левокумское,9713.0
Ильинская,1264075.0
Междуреченск,97895.0
Усть-Лабинск,40687.0
Мензелинск,17153.0
Лысьва,62592.0
Оса,21072.0
Ершов,19993.0
Киселевск,90980.0
Киреевск,24642.0
Ревда,62632.0
Орск,234408.0
Полевской,62259.0
Узловая,51922.0
Россошь,62884.0
Ленинск-Кузнецкий,96921.0
Кольчугино,43543.0
Лесной,49149.0
Краснотурьинск,57514.0
Саянский,4004.0
Алексеевка,38447.0
Юрюзань,11685.0
Заволжье,38527.0
Нефтекумск,64589.0
Новокорсунская,4945.0
Голышманово,14336.0
Безопасное,1264075.0
Зверево,19456.0
Чайковский,83486.0
Гагино,1039801.0
Северская,107498.0
Белорецк,65801.0
Багратионовск,6409.0
Новошахтинск,108782.0
Клетская,5323.0
Лиски,54184.0
Ирбит,37443.0
Ахтырский,21067.0
Кумертау,60807.0
Можга,49617.0
Рефтинский,16201.0
Туапсе,62269.0
Венев,14211.0
Назарово,50397.0
Сарапул,97910.0
Югорск,37150.0
Лянтор,39841.0
Новоуральск,81577.0
Красные Баки,7818.0
Батайск,124705.0
Киржач,27157.0
Кудымкар,31265.0
Тара,28116.0
Лабинск,60164.0
Юрьев-Польский,18610.0
Усть-Кут,42272.0
Аша,29946.0
Будённовск,62495.0
Ефремов,35505.0
Фролово,37377.0
Медведовская,16793.0
Гремячинск,9000.0
Коркино,34967.0
Добрянка,33083.0
Белебей,59123.0
Каратузское,7456.0
Артемовский,30933.0
Первомайск,66758.0
Ипатово,24021.0
Мостовской,24975.0
Плавск,15870.0
Барабинск,29122.0
Чунский,14135.0
Карабаново,14817.0
Балахна,49364.0
Бутурлиновка,24670.0
Снежинск,50759.0
Собинка,18059.0
Отрадный,47542.0
Зима,31229.0
Кировград,19712.0
Курганинск,48689.0
Калач,19035.0
Чернушка,33010.0
Брюховецкая,22139.0
Новодмитриевская,5244.0
Семикаракорск,22118.0
Советский,1264075.0
Саров,95065.0
Лесосибирск,59642.0
Менделеевск,22203.0
Табуны,3857.0
Агаповка,6561.0
Сальск,58179.0
Пионерский,11352.0
Арзгир,14722.0
Морозовск,25467.0
Осинники,43008.0
Белоярский,20142.0
Нижняя Салда,42733.0
Донецк,922137.0
Черняховск,36423.0
Петровск,592976.0
Заинск,40635.0
Пыть-Ях,40798.0
Шахунья,36216.0
Старотитаровская,12968.0
Кагальницкая,6831.0
Камень-на-Оби,41315.0
Дегтярск,16141.0
Хвалынск,12556.0
Боголюбово,4494.0
Верхний Услон,102.0
Пугачев,41056.0
Дудинка,21513.0
Шарыпово,37169.0
Шаркан,6523.0
Староминская,29809.0
Соль-Илецк,27189.0
Новоминская,11971.0
Калининская,419898.0
Нурлат,32954.0
Балтийск,33181.0
Пошехонье,5867.0
Кормиловка,9783.0
Ставрово,7458.0
Апшеронск,40016.0
Богданович,29311.0
Хомутово,8184.0
Натухаевская,6922.0
Нижняя Тура,20217.0
Железноводск,24912.0
Сатка,42214.0
Чкаловск,29800.0
Янаул,25747.0
Хадыженск,22468.0
Подгоренский,24674.0
Зирган,4125.0
Красный Кут,14718.0
Большая Черниговка,17790.0
Лангепас,43534.0
Радужный,18535.0
Ртищево,39390.0
Полысаево,26510.0
Светлогорск,67453.0
Тальменка,19157.0
Суздаль,9749.0
Миньяр,9342.0
Безенчук,22618.0
Камбарка,10477.0
Анапская,16107.0
Новосемейкино,9941.0
Маслова Пристань,6048.0
Приобье,6783.0
Калининск,15841.0
Воротынец,6154.0
Данилов,14868.0
Болгар,8571.0
Зеленокумск,37186.0
Александровское,748984.0
Нягань,57765.0
Шиханы,5665.0
Черемхово,51230.0
Арск,20419.0
Ижморский,11148.0
Верхние Татышлы,6645.0
Тогучин,21159.0
Ольховка,5401.0
Среднеуральск,22896.0
Заречный,64982.0
Урень,12385.0
Вешенская,9261.0
Алапаевск,37653.0
Навашино,15051.0
Белореченск,52082.0
Камышла,26538.0
Славгород,29916.0
Ялуторовск,39837.0
Воронежская,1039801.0
Покров,17308.0
Аксубаево,9905.0
Бугуруслан,49585.0
Ивантеевка,76612.0
Пестрецы,8102.0
Култук,3715.0
Куйбышев,44246.0
Игрим,7477.0
Орловский,318633.0
Буинск,20905.0
Реж,37420.0
Кулебаки,32943.0
Новоалександровск,26997.0
Кинель,35321.0
Лакинск,14568.0
Учалы,37715.0
Тоншаево,5279.0
Меленки,14013.0
Ардатов,8734.0
Новокубанск,35287.0
Муслюмово,464.0
Пречистое,4692.0
Тавда,33666.0
Ессентукская,20166.0
Платнировская,273278.0
Байкальск,12738.0
Пласт,17648.0
Североуральск,26543.0
Тутаев,40441.0
Серафимовский,9813.0
Тюльган,9189.0
Красногорский,245925.0
Промышленная,17821.0
Хохольский,7575.0
Буздяк,10323.0
Зерноград,24886.0
Когалым,64704.0
Малояз,131.0
Полтавка,1937.0
Нижнеудинск,33954.0
Вязники,36635.0
Елизаветинская,357449.0
Красноуфимск,38731.0
Красноармейск,48.0
Черемшан,6596.0
Лермонтов,22612.0
Жигулевск,54343.0
Плотниково,5.0
Чердынь,4687.0
Топки,27963.0
Супсех,6669.0
Новопокровская,1264075.0
Зауральский,7525.0
Советская,1264075.0
Куркино,32325.0
Усть-Катав,22536.0
Бутурлино,1264075.0
Любинский,10435.0
Камышлов,26538.0
Касли,16263.0
Вача,5283.0
Аткарск,25384.0
Выселки,2544.0
Красноярка,97762.0
Некрасовское,5897.0
Тугулым,5738.0
Острогожск,32714.0
Чалтырь,15334.0
Чишмы,22408.0
Сарманово,529797.0
Панино,6129.0
Майкор,2993.0
Пролетарск,19290.0
Сухой Лог,34018.0
Полтавская,26520.0
Сузун,15491.0
Талинка,3559.0
Мариинск,15604.0
Новоузенск,15929.0
Тимашевск,51925.0
Светлоград,36358.0
Рудня,9484.0
Псебай,10533.0
Чернянка,14909.0
Аскарово,7634.0
Колывань,12429.0
Шушенское,17142.0
Кувандык,24131.0
Богатые Сабы,8670.0
Новобатайск,5340.0
Кушва,28409.0
Сибай,61054.0
Верещагино,22194.0
Прохоровка,9081.0
Воскресенское,935.0
Спицевка,3478.0
Джубга кп,881476.0
Междуреченский,97895.0
Излучинск,19597.0
Афипский,21499.0
Красный Яр,12214.0
Дивногорск,29117.0
